0.4,5.71958293322065E-09
0.4025,1.65573298802422E-08
0.405,1.12367027537609E-08
0.4075,0.000000119
0.41,5.89167657899898E-07
0.4125,4.36338646196868E-06
0.415,8.19036413574661E-06
0.4175,3.5199484067816E-06
0.42,1.2856407655204E-06
0.4225,9.77813018078911E-06
0.425,1.59945859017498E-05
0.4275,1.6076873929819E-05
0.43,1.50835018946881E-05
0.4325,1.74802750723467E-05
0.435,1.08818091631583E-05
0.4375,7.93655507487179E-05
0.44,0.0004663843
0.4425,0.0063766209
0.445,0.1141652709
0.4475,0.3219008503
0.45,0.5073973936
0.4525,0.6741904444
0.455,0.739061953
0.4575,0.796996832
0.46,0.7935622466
0.4625,0.8492317941
0.465,0.8456567502
0.4675,0.9331995135
0.47,0.966748757
0.4725,0.9661331526
0.475,0.977015178
0.4775,0.9722506383
0.48,1
0.4825,0.9980151197
0.485,0.9095724233
0.4875,0.7318145787
0.49,0.5567307541
0.4925,0.3078423603
0.495,0.0682645075
0.4975,0.0118420399
0.5,0.0020827887
0.5025,0.0006399285
0.505,0.0001683739
0.5075,0.0001360142
0.51,0.0001257004
